AC	sim	Count	Prop	mu_fit
76	2.055681864091083e-06	12.0	2.3507374753197053e-06	2.3e-09
77	2.0245083262622357e-06	17.0	3.3302114233695824e-06	2.3e-09
78	1.996548693604394e-06	10.0	1.9589478960997543e-06	2.3e-09
79	1.9716699159826217e-06	12.0	2.3507374753197053e-06	2.3e-09
80	1.9497502539759893e-06	16.0	3.1343166337596067e-06	2.3e-09
81	1.930653773394794e-06	15.0	2.9384218441496315e-06	2.3e-09
82	1.9142067241715937e-06	10.0	1.9589478960997543e-06	2.3e-09
83	1.9001786010952504e-06	11.0	2.1548426857097296e-06	2.3e-09
84	1.8882698964701048e-06	14.0	2.7425270545396562e-06	2.3e-09
85	1.8781076211462983e-06	7.0	1.3712635272698281e-06	2.3e-09
86	1.8692487913066557e-06	8.0	1.5671583168798034e-06	2.3e-09
87	1.8611912706023028e-06	3.0	5.876843688299263e-07	2.3e-09
88	1.8533907414476684e-06	11.0	2.1548426857097296e-06	2.3e-09
89	1.8452821334335562e-06	11.0	2.1548426857097296e-06	2.3e-09
90	1.8363036146148103e-06	8.0	1.5671583168798034e-06	2.3e-09
91	1.825921191004668e-06	7.0	1.3712635272698281e-06	2.3e-09
92	1.8136521074274659e-06	12.0	2.3507374753197053e-06	2.3e-09
93	1.7990854557587352e-06	5.0	9.794739480498772e-07	2.3e-09
94	1.7818987601493948e-06	10.0	1.9589478960997543e-06	2.3e-09
95	1.7618696898725033e-06	5.0	9.794739480498772e-07	2.3e-09
96	1.7388824517384208e-06	5.0	9.794739480498772e-07	2.3e-09
97	1.7129288290294535e-06	9.0	1.7630531064897788e-06	2.3e-09
98	1.6841041643150232e-06	10.0	1.9589478960997543e-06	2.3e-09
99	1.6525988930849788e-06	10.0	1.9589478960997543e-06	2.3e-09
100	1.618686455718003e-06	10.0	1.9589478960997543e-06	2.3e-09
101	1.5827085500429808e-06	10.0	1.9589478960997543e-06	2.3e-09
102	1.5450587359949185e-06	10.0	1.9589478960997543e-06	2.3e-09
103	1.5061653950962041e-06	8.0	1.5671583168798034e-06	2.3e-09
104	1.4664749604668967e-06	11.0	2.1548426857097296e-06	2.3e-09
105	1.4264361686041885e-06	9.0	1.7630531064897788e-06	2.3e-09
106	1.3864859466272671e-06	2.0	3.9178957921995084e-07	2.3e-09
107	1.3470373371133046e-06	3.0	5.876843688299263e-07	2.3e-09
108	1.3084696850331773e-06	6.0	1.1753687376598526e-06	2.3e-09
109	1.2711211513547954e-06	4.0	7.835791584399017e-07	2.3e-09
110	1.2352834749489753e-06	7.0	1.3712635272698281e-06	2.3e-09
111	1.2011987976878433e-06	7.0	1.3712635272698281e-06	2.3e-09
112	1.1690583237568865e-06	5.0	9.794739480498772e-07	2.3e-09
113	1.1390025321485508e-06	2.0	3.9178957921995084e-07	2.3e-09
114	1.1111226717427401e-06	5.0	9.794739480498772e-07	2.3e-09
115	1.0854632917411754e-06	3.0	5.876843688299263e-07	2.3e-09
116	1.0620255872295552e-06	8.0	1.5671583168798034e-06	2.3e-09
117	1.0407713784022843e-06	2.0	3.9178957921995084e-07	2.3e-09
